entity,year,record,builtup,carbon,cropland,fishing,forest,grazing,total
World,2015,EFConsPerCap,0.09,1.56,0.45,0.09,0.28,0.14,2.6
World,2015,BiocapPerCap,0.09,0,0.45,0.14,0.71,0.2,1.59
World,2016,EFConsPerCap,0.09,1.51,0.45,0.09,0.28,0.13,2.56
World,2016,BiocapPerCap,0.09,0,0.45,0.14,0.7,0.2,1.58
World,2017,EFConsPerCap,0.1,1.57,0.46,0.09,0.28,0.13,2.63
World,2017,BiocapPerCap,0.1,0,0.46,0.14,0.69,0.2,1.58
World,2018,EFConsPerCap,0.1,1.58,0.45,0.09,0.29,0.13,2.63
World,2018,BiocapPerCap,0.1,0,0.45,0.14,0.68,0.19,1.56
World,2019,EFConsPerCap,0.1,1.56,0.45,0.09,0.28,0.13,2.6
World,2019,BiocapPerCap,0.1,0,0.45,0.13,0.67,0.19,1.55
World,2020,EFConsPerCap,0.1,1.4,0.45,0.08,0.27,0.13,2.43
World,2020,BiocapPerCap,0.1,0,0.45,0.13,0.66,0.19,1.53
World,2021,EFConsPerCap,0.1,1.53,0.45,0.08,0.28,0.13,2.57
World,2021,BiocapPerCap,0.1,0,0.45,0.13,0.66,0.19,1.52
World,2022,EFConsPerCap,0.1,1.56,0.44,0.08,0.27,0.13,2.59
World,2022,BiocapPerCap,0.1,0,0.44,0.13,0.65,0.19,1.51
World,2023,EFConsPerCap,0.1,1.55,0.44,0.08,0.26,0.13,2.56
World,2023,BiocapPerCap,0.1,0,0.44,0.13,0.64,0.18,1.5
World,2024,EFConsPerCap,0,0,0,0,0,0,2.53
World,2024,BiocapPerCap,0,0,0,0,0,0,1.49
World,2025,EFConsPerCap,0,0,0,0,0,0,2.51
World,2025,BiocapPerCap,0,0,0,0,0,0,1.48
